camis,dba,boro,building,street,zipcode,phone,cuisine type,latitude,longitude,current_grade
40364404,POLISH NATIONAL HOME,Brooklyn,261,DRIGGS AVENUE,11222.0,7183875252,59,40.722622173128,-73.948301829523,A
40364439,SEVILLA RESTAURANT,Manhattan,62,CHARLES STREET,10014.0,2129293189,3,40.734908378121,-74.00297328507,A
40364443,CRIMINAL COURT BLDG CAFETERIA,Manhattan,100,CENTRE STREET,10013.0,2129621037,42,40.71607656565,-74.001424896229,A
40364449,GOTTSCHEER HALL,Queens,657,FAIRVIEW AVENUE,11385.0,7183663030,63,40.706647972614,-73.90573574011,A
40364467,NYAC MAIN DINING ROOM,Manhattan,180,CENTRAL PARK SOUTH,10019.0,2127677000,42,40.766718222992,-73.978736594767,C
40364518,7B BAR,Manhattan,108,AVENUE B,10009.0,2126776742,42,40.724984562414996,-73.981282649047,A
40364531,CAFE ATELIER (ART STUDENTS LEAGUE),Manhattan,215,WEST   57 STREET,10019.0,2122474510,42,40.765886941316,-73.980895665472,A
40364572,DONOHUE'S STEAK HOUSE,Manhattan,845,LEXINGTON AVENUE,10065.0,2127440938,82,40.765512884509,-73.965769788003,A
40364576,TOUT VA BIEN,Manhattan,311,WEST   51 STREET,10019.0,2122650190,21,40.7631374512,-73.98617050787401,B
40364581,JUNIOR'S,Brooklyn,386,FLATBUSH AVENUE EXTENSION,11201.0,7188525257,42,40.690200145893996,-73.98162419647299,A
40364668,MARCHIS RESTAURANT,Manhattan,251,EAST   31 STREET,10016.0,2126792494,44,40.743332794963,-73.97833629118101,A
40364681,TOWNE CAFE,Brooklyn,2602,EAST   15 STREET,11235.0,5162419888,42,40.58784234920999,-73.954325595126,A
40364691,THE GEORGIAN SUITE KITCHEN,Manhattan,.1-A,EAST 77 ST,-2.0,2127341468,76,0.0,0.0,A
40364715,OLD HOMESTEAD,Manhattan,56,9 AVENUE,10011.0,2122429040,42,40.741372224356,-74.005037755098,A
40364744,NEW PARK PIZZERIA & RESTAURANT,Queens,156-71,CROSSBAY BOULEVARD,11414.0,7186413082,32,40.663101703308,-73.840837932811,A
40364858,DOUGLASTON CLUB,Queens,600,WEST DRIVE,11363.0,7182293900,42,40.776329722511,-73.752835442703,A
40364920,RIZZO'S FINE PIZZA,Queens,3013,STEINWAY STREET,11103.0,7187219862,55,40.763274590236,-73.915477826359,A
40364956,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,Bronx,2222,HAVILAND AVENUE,10462.0,7188229004,42,40.830610122115004,-73.84964668266501,A
40365013,CRYSTAL ROOM,Staten Island,67,OLYMPIA BOULEVARD,10305.0,7184478926,44,40.592814177678,-74.070677121271,A
40365022,LABETTI'S POST # 2159,Staten Island,390,HYLAN BOULEVARD,10305.0,7184429312,42,40.609851438172996,-74.074433659233,P
40365043,SHELL LANES,Brooklyn,1,BOUCK COURT,11223.0,7183366700,42,40.588746043722,-73.97395090665499,A
40365075,MCSORLEY'S OLD ALE HOUSE,Manhattan,15,EAST    7 STREET,10003.0,2122542570,26,40.728584000789,-73.989536765481,A
40365098,FORLINIS RESTAURANT,Manhattan,93,BAXTER STREET,10013.0,2123496779,44,40.717018029408,-73.999624832129,A
40365120,SOUTH SHORE SWIMMING CLUB,Staten Island,6736,HYLAN BOULEVARD,10309.0,7182274285,42,40.508068517904,-74.228282145067,A
40365166,CORNER BISTRO,Manhattan,331,WEST    4 STREET,10014.0,2122429502,42,40.737924847314,-74.00386111603302,A
40365226,NOSTRAND DONUT SHOP,Brooklyn,1449,NOSTRAND AVENUE,11226.0,7188263008,77,40.650975896813996,-73.94957924940199,-2
40365239,DORRIAN'S RED HAND RESTAURANT,Manhattan,1616,2 AVENUE,10028.0,2127726660,26,40.776404966262,-73.952802065662,A
40365264,LA GRENOUILLE,Manhattan,3,EAST   52 STREET,10022.0,2127521495,21,40.759658161533,-73.97597743544401,A
40365288,KEATS RESTAURANT,Manhattan,842,2 AVENUE,10017.0,2126825490,42,40.751598370567,-73.970894901051,A
40365355,NEW CORNER,Brooklyn,7201,8 AVENUE,11228.0,7188330800,44,40.628582862806,-74.016719596504,A
40365361,THE PRINCETON CLUB,Manhattan,15,WEST   43 STREET,10036.0,2125961272,42,40.754496242928,-73.981194917404,A
40365387,ARTURO'S,Manhattan,106,WEST HOUSTON STREET,10012.0,2126773820,44,40.727234052041,-74.000515935209,A
40365472,SPAIN RESTAURANT & BAR,Manhattan,113,WEST   13 STREET,10011.0,2129299580,56,40.736950503796,-73.99800451792301,A
40365499,YANKEE TAVERN,Bronx,72,EAST  161 STREET,10451.0,7182926130,42,40.827557865749,-73.925148423673,B
40365525,DONUT PUB,Manhattan,203,WEST   14 STREET,10011.0,2129290126,77,40.738748341271,-74.000144342577,A
40365546,REBEN LUNCHEONETTE,Brooklyn,229,HAVEMEYER STREET,11211.0,7183887696,42,40.709039945161,-73.959151290226,P
40365577,V & T RESTAURANT,Manhattan,1024,AMSTERDAM AVENUE,10025.0,2126668051,44,40.803329420524996,-73.963611914951,A
40365627,JAHN'S RESTAURANT,Queens,8104,37 AVENUE,11372.0,7186510700,42,40.74965336582,-73.885073567329,B
40365632,J&V FAMOUS PIZZA,Brooklyn,6322,18 AVENUE,11204.0,7182322700,55,40.619956732515,-73.989352140632,A
40365644,JOE ALLEN RESTAURANT,Manhattan,326,WEST   46 STREET,10036.0,2125816464,42,40.760178896668,-73.988882031739,A
40365726,BARBETTA RESTAURANT,Manhattan,319321,323 W. 46TH ST.,-2.0,2122469171,44,0.0,0.0,A
40365784,GARGIULO'S RESTAURANT,Brooklyn,2911,WEST   15 STREET,11224.0,7182664891,44,40.576555331866004,-73.982584323148,A
40365789,PATSY'S ITALIAN RESTAURANT,Manhattan,236,WEST   56 STREET,10019.0,2122473491,44,40.765618195284,-73.98239751366,A
40365841,PARKSIDE RESTAURANT,Queens,10701,CORONA AVENUE,11368.0,7182719871,44,40.743725104829004,-73.856238382915,A
40365844,LAVELLE'S ADMIRAL'S CLUB,Queens,4515,BROADWAY,11103.0,7187212764,42,40.757002312956,-73.914799999814,A
40365871,NEARY'S PUB,Manhattan,358,EAST   57 STREET,10022.0,2127511434,42,40.758639389205,-73.963748322244,P
40365882,NEW YORK PIZZA SUPREMA,Manhattan,413,8 AVENUE,10001.0,2125948939,55,40.750031951553,-73.995040989424,A
40365904,MEE SUM CAFE,Manhattan,26,PELL STREET,10013.0,2123495260,33,40.714860627928,-73.998199974185,A
40365938,NANCY'S RESTAURANT,Queens,25541,JAMAICA AVENUE,11001.0,7183434616,42,40.727412703327,-73.70962096636799,A
40365942,HOP KEE RESTAURANT,Manhattan,21,MOTT STREET,10013.0,2129648365,61,40.71436383248,-73.998784360399,A
40365968,NANCY WHISKEY PUB,Manhattan,1,LISPENARD ST,10013.0,2122269943,42,40.720539457665,-74.005010921281,A
40365972,BLARNEY BAR,Queens,14609,JAMAICA AVENUE,11435.0,7186583406,42,40.701803341646,-73.808675609014,A
40366002,MARGHERITA PIZZA,Queens,16304,JAMAICA AVENUE,11432.0,7186575780,55,40.704667713048,-73.796822882442,A
40366054,HEALY'S PUB,Queens,10807,ROCKAWAY BEACH BOULEVARD,11694.0,7184749600,42,40.581733753666,-73.83028282944801,A
40366109,FIFTH AVENUE BINGO,Brooklyn,416,5 AVENUE,11215.0,7187881691,42,40.670037593839,-73.98559148395701,A
40366132,DENINO'S PIZZERIA TAVERN,Staten Island,524,PORT RICHMOND AVENUE,10302.0,7184429401,32,40.630024412021,-74.140168869243,A
40366154,MICHAEL'S RESTAURANT,Brooklyn,2929,AVENUE R,11229.0,7189987851,44,40.607418586159,-73.943003631919,B
40366162,LENIHAN'S SALOON,Queens,11909,ATLANTIC AVENUE,11418.0,7188469770,42,40.694109849123,-73.82779592555,A
40366222,KILLARNEY ROSE,Manhattan,80,BEAVER STREET,10005.0,2124221486,26,40.705338706862,-74.008692264913,A
40366230,DON PEPPE,Queens,13558,LEFFERTS BOULEVARD,11420.0,7188457587,44,40.670258237563,-73.820976082388,A
40366356,BLARNEY CASTLE,Queens,20224,ROCKAWAY POINT BOULEVARD,11697.0,7186344503,42,40.560775789189,-73.911783397474,B
40366361,THREE STAR RESTAURANT,Brooklyn,1611,AVENUE U,11229.0,7183364195,42,40.598961855776,-73.955265017375,P
40366381,DANGERFIELD'S NIGHT CLUB,Manhattan,1118,1 AVENUE,10065.0,2125931650,42,40.761064819248,-73.960895272067,A
40366396,DESMOND'S TAVERN,Manhattan,433,PARK AVENUE SOUTH,10016.0,2126849472,42,40.744264110037,-73.983373961911,A
40366425,NAOMI KOSHER PIZZA,Queens,6828,MAIN STREET,11367.0,7185208754,18,40.732466303424,-73.82481705153201,A
40366471,ROLL-N-ROASTER,Brooklyn,2901,EMMONS AVENUE,11235.0,7187696000,42,40.58386660862,-73.939690057418,A
40366473,TIO PEPE,Manhattan,168,WEST    4 STREET,10014.0,2122429338,5,40.732056597097994,-74.001443280258,A
40366487,BRENNAN & CARR,Brooklyn,3432,NOSTRAND AVENUE,11229.0,7187691254,42,40.600385883899,-73.94189333042,A
40366497,THE PUNCH BOWL,Bronx,5820,BROADWAY,10463.0,7188847322,42,40.885206062282,-73.900573930546,A
40366543,JARDIN DE CHINA REST,Queens,3737,JUNCTION BOULEVARD,11368.0,7184763755,61,40.750754804569,-73.870360475566,B
40366549,IRISH COTTAGE,Queens,10807,72 AVENUE,11375.0,7185208530,26,40.719536636091,-73.842506404091,A
40366574,BLARNEY STONE,Manhattan,11,TRINITY PLACE,10006.0,2122694988,26,40.706523941132005,-74.013846556301,A
40366586,SHIMONS KOSHER PIZZA,Queens,7124,MAIN STREET,11367.0,7187931491,18,40.727181176223,-73.822096177766,A
40366652,FASCATI'S PIZZERIA,Brooklyn,80,HENRY STREET,11201.0,7182371278,32,40.698443928676,-73.992545623939,A
40366661,BABY BO'S CANTINA,Manhattan,627,2 AVENUE,10016.0,2127792656,68,40.744979132961,-73.97574095227199,A
40366711,LI GRECI'S STAATEN RESTAURANT,Staten Island,697,FOREST AVENUE,10310.0,7184486000,42,40.629475941557004,-74.11233734161999,A
40366716,SHUN LEE PALACE RESTAURANT,Manhattan,155,EAST   55 STREET,10022.0,2123718844,61,40.759376653074,-73.96948371139,P
40366742,TAMAQUA,Brooklyn,84,EBONY COURT,11229.0,7186469212,54,40.594272114923,-73.930063079549,C
40366812,CARA MIA,Queens,22020,HILLSIDE AVENUE,11427.0,7187409118,44,40.730704335939,-73.743266950975,A
40366857,MALONEY'S BAR,Queens,8769,SUTPHIN BOULEVARD,11435.0,3472334472,42,40.705169666072,-73.809412507154,A
40366879,LA FUSTA RESTAURANT,Queens,8032,BAXTER AVENUE,11373.0,7184298222,3,40.744706795371,-73.884569670655,A
40366928,RICHMOND COUNTY COUNTRY CLUB,Staten Island,135,FLAGG PLACE,10304.0,7183510600,42,40.58793589848,-74.104072714536,A
40366929,LITTLE BROWN JUG,Queens,12402,JAMAICA AVENUE,11418.0,7188469609,42,40.700794094229,-73.826447791315,P
40366938,LULU'S COFFEE SHOP,Bronx,1191,CASTLE HILL AVENUE,10462.0,7188223568,33,40.831707036899,-73.850999305895,A
40366961,MITCHELL'S RESTAURANT,Brooklyn,617A,VANDERBILT AVENUE,11238.0,7187893212,62,40.67885036975101,-73.968417476489,A
40366993,FINNEGAN'S WAKE PUB,Manhattan,1361,FIRST AVENUE,10021.0,2127373664,42,40.768577977001,-73.955439460636,A
40367005,DA VINCI PIZZA,Brooklyn,6514,18 AVENUE,11204.0,7182325855,32,40.61897967707,-73.990342864857,B
40367038,MEXICO LINDO RESTAURANT,Manhattan,459,2 AVENUE,10010.0,2126793665,24,40.739644067898,-73.979614944263,A
40367161,MARINA DELRAY,Bronx,2894,SCHURZ AVE,10465.0,7189316500,42,40.814538549783,-73.815055436186,A
40367164,NEW FLORIDIAN DINER,Brooklyn,2301,FLATBUSH AVENUE,11234.0,7183771895,42,40.613881826161,-73.927186236571,A
40367179,TWINS PUB,Manhattan,421,9 AVENUE,10001.0,2126431688,26,40.753053988386995,-73.996556687381,A
40367183,NARROWS COFFEE SHOP,Brooklyn,10001,4 AVENUE,11209.0,7188339281,42,40.612741716025,-74.033708560857,A
40367189,BROOME STREET BAR,Manhattan,363,WEST BROADWAY,10013.0,2129252086,42,40.723116860955,-74.003124280993,A
40367232,O'HANLON'S PUB,Queens,2257,31 STREET,11105.0,7187289619,26,40.774948266802,-73.912119596608,A
40367240,CHARLIES SPORTS BAR,Queens,4408,60TH ST. - STORE,-2.0,7184781903,54,0.0,0.0,A
40367241,JG MELON RESTAURANT,Manhattan,1291,3 AVENUE,10021.0,2127440585,42,40.771192500921,-73.959531818288,A
40367278,JACK'S PIZZA & PASTA,Queens,21249,26 AVENUE,11360.0,7184235484,32,40.778284557126,-73.777247514403,A
40367338,TAP ROOM/GRAB & GO,Manhattan,180,CENTRAL PARK SOUTH,10019.0,2127677085,42,40.766718222992,-73.978736594767,A
40367339,COCKTAIL ROOM (NYAC),Manhattan,180,CENTRAL PARK SOUTH,10019.0,2127677000,42,40.766718222992,-73.978736594767,A
40367365,FLAME RESTAURANT COFFEE HOUSE,Manhattan,893,9 AVENUE,10019.0,2127657962,42,40.768431984928,-73.9853426732,A
40367373,JACKSON HOLE,Manhattan,232,EAST   64 STREET,10065.0,2123717187,42,40.764309967429,-73.963456427466,A
40367377,ZUM STAMMTISCH,Queens,6946,MYRTLE AVENUE,11385.0,7183863014,63,40.70186889553,-73.881596583326,A
40367442,BUDDY'S WONDER BAR,Staten Island,17,HARRISON AVENUE,10302.0,7184429768,42,40.636755420816996,-74.134937047229,A
40367481,THE ASSEMBLY BAR,Queens,7302,COOPER AVENUE,11385.0,7188219359,42,40.704073519705,-73.876925603865,A
40367534,MR BROADWAY KOSHER RESTAURANT,Manhattan,1372,BROADWAY,10018.0,2129212152,18,40.752262863231,-73.98745407546,B
40367540,PICCOLA VENEZIA,Queens,4201,28 AVENUE,11103.0,7187218470,44,40.76467452834,-73.911974365894,A
40367728,MIMIS RESTAURANT & BAR,Manhattan,984,SECOND AVENUE,10022.0,2126884692,44,40.756216898717,-73.967528807602,A
40367749,LENNY'S CLAM BAR,Queens,16103,CROSSBAY BOULEVARD,11414.0,7188455100,5,40.655550935611,-73.83896749314,A
40367752,GRIFFIS FACULTY CLUB,Manhattan,521,EAST   68 STREET,10065.0,6469623939,42,40.764156112386,-73.955283592822,P
40367766,GRAY'S PAPAYA,Manhattan,2080,BROADWAY,10023.0,2127990243,78,40.777996996817,-73.982098151394,A
40367789,DANI PIZZA AND RESTAURANT,Queens,8128,LEFFERTS BOULEVARD,11415.0,7188462849,55,40.708866954929,-73.830434010524,A
40367790,MCDONALD'S,Brooklyn,943,FLATBUSH AVENUE,11226.0,7186935353,74,40.648723192538,-73.958298253196,A
40367829,MCDONALD'S,Queens,7550,101 AVENUE,11416.0,7188451010,74,40.679723985188,-73.861918327289,A
40367841,CAFE FIORELLO,Manhattan,1900,BROADWAY,10023.0,2125955330,44,40.771511149198,-73.982150446461,A
40367860,L&B SPUMONI GARDENS,Brooklyn,2725,86 STREET,11223.0,7184491230,32,40.594393518287,-73.981359004171,B
40367870,AMORE PIZZERIA & RESTAURANT,Queens,3027,STRATTON STREET,11354.0,7184450579,32,40.769658810731,-73.834693968308,A
40367946,THE LARK'S NEST,Bronx,4280,KATONAH AVE,10470.0,3472028233,26,40.897976551901,-73.867254392087,A
40368018,TERRACE CAFE,Bronx,2300,SOUTHERN BOULEVARD,10460.0,7182205069,42,40.850555961413,-73.882451432726,A
40368021,ZOO BREWS-BRONX ZOO,Bronx,2300,SOUTHERN BOULEVARD,10460.0,7182207937,42,40.850555961413,-73.882451432726,A
40368022,GRIZZLY GROUNDS,Bronx,2300,SOUTHERN BOULEVARD,10460.0,7182205069,33,40.850555961413,-73.882451432726,A
40368025,THE PECKING ORDER,Bronx,2300,SOUTHERN BOULEVARD,10460.0,7187418295,42,40.850555961413,-73.882451432726,A
40368026,AFRICAN MARKET (BABOON CAFE),Bronx,2300,SOUTHERN BOULEVARD,10460.0,7187418295,42,40.850555961413,-73.882451432726,A
40368034,ROADHOUSE RESTAURANT,Staten Island,1402,CLOVE ROAD,10301.0,7184470033,44,40.613366849845,-74.10045672543801,A
40368157,ELEPHANT & CASTLE,Manhattan,68,GREENWICH AVENUE,10011.0,2122431400,42,40.736313732048,-74.000941800769,A
40368207,MILL BASIN KOSHER DELI,Brooklyn,5823,AVENUE T,11234.0,7182414910,18,40.615314177459,-73.91841051909199,A
40368223,OYSTER BAR,Manhattan,0,GRAND CENTRAL TERMINAL,10017.0,2124906650,5,40.752513822619,-73.977304639681,A
40368271,CHERRY TAVERN,Manhattan,441,EAST    6 STREET,10009.0,2127771448,42,40.72599520843,-73.98519690441499,A
40368291,COLONNADE DINER,Staten Island,2001,HYLAN BOULEVARD,10306.0,7183512900,42,40.581163905657,-74.098543291202,A
40368313,RED FLAME DINER,Manhattan,67,WEST   44 STREET,10036.0,2128693965,42,40.755627203336,-73.981938150269,A
40368318,MAGGIES PLACE,Manhattan,21,EAST   47 STREET,10017.0,2127535757,42,40.75615887998,-73.977386411729,A
40368338,BRADY'S BAR,Manhattan,1583,2 AVENUE,10028.0,2128616070,42,40.775433620871,-73.953532090009,A
40368374,JIMMY'S CORNER,Manhattan,140,WEST   44 STREET,10036.0,2122219510,42,40.756612923674,-73.984331004337,A
40368526,FROST RESTAURANT,Brooklyn,193,FROST STREET,11211.0,7183893347,44,40.718203594249,-73.943536223219,A
40368552,SAMMY'S STEAKHOUSE,Manhattan,155157,CHRISTIE ST.,-2.0,2126730330,82,0.0,0.0,A
40368555,IL CORTILE RESTAURANT,Manhattan,123,MULBERRY STREET,10013.0,2122266060,44,40.717890850638,-73.99810609883001,A
40368577,DENNY'S PUB,Brooklyn,106,BEVERLY ROAD,11218.0,7184352156,42,40.642931856285,-73.978869881609,A
40368581,MARIES CRISIS CAFE,Manhattan,59,GROVE STREET,10014.0,2122439323,54,40.733135251667,-74.003287124204,-2
40368632,NEW PARKWAY RESTAURANT,Brooklyn,7504,13 AVENUE,11228.0,7187454371,42,40.620195775133,-74.00754646330998,A
40368725,CAFE RIAZOR,Manhattan,245,WEST   16 STREET,10011.0,2127272132,56,40.740439115543,-74.000025260594,A
40368752,RAOULS,Manhattan,180,PRINCE STREET,10012.0,2129663518,21,40.726320028034,-74.002034849311,A
40368763,THE BROOK,Manhattan,111,EAST   54 STREET,10022.0,2127537020,42,40.759426587413,-73.971541211282,A
40368801,MARBELLA RESTAURANT,Queens,22033,NORTHERN BOULEVARD,11361.0,7184230100,3,40.761601625705,-73.760759718274,A
40368809,P.J.' S,Queens,18925,UNION TURNPIKE,11366.0,3472683989,42,40.729537226386,-73.779969217943,A
40368824,DOUBLES CLUB,Manhattan,783,5 AVENUE,10022.0,2127519595,42,40.764532145131,-73.972809729679,A
40368897,HATSUHANA RESTAURANT,Manhattan,17,EAST   48 STREET,10017.0,2123553345,23,40.756891688533,-73.97717319846501,A
40369012,VALENTINO'S PIZZA,Queens,7147,KISSENA BOULEVARD,11367.0,7185916464,32,40.728528733562996,-73.815074973898,A
40369016,VIAND COFFEE SHOP,Manhattan,673,MADISON AVENUE,10065.0,2127516622,19,40.764789486445,-73.970131018321,A
40369017,PALM TOO,Manhattan,840,2 AVENUE,10017.0,2126975198,42,40.751554462636,-73.970927403658,A
40369051,STEVE'S COFFEE SHOP,Queens,403416,2ND ST,-2.0,7184456691,33,0.0,0.0,A
40369087,BLUE BAY RESTAURANT,Bronx,3533,JOHNSON AVENUE,10463.0,7188846476,42,40.886028908603,-73.909870952705,P
40369111,THE HYTES BAR,Brooklyn,1082,ST JOHNS PLACE,11213.0,7187789564,42,40.671204404173004,-73.942649706588,A
40369139,PERGOLA DES ARTISTES,Manhattan,252,WEST   46 STREET,10036.0,2123027500,21,40.759253680268,-73.98669472090201,A
40369158,JODY'S CLUB,Staten Island,372,FOREST AVENUE,10301.0,7187276338,42,40.63100906274,-74.101895649669,A
40369165,REIF'S TAVERN,Manhattan,302,EAST   92 STREET,10128.0,2124260519,42,40.781511138984,-73.948577300186,P
40369213,WHITESTONE LANES,Queens,3005,WHITESTONE EXPRESSWAY,11354.0,7183536300,42,40.770708647549,-73.833720179111,C
40369262,JOHN'S PIZZERIA,Queens,8502,GRAND AVENUE,11373.0,7184577561,55,40.734921850516,-73.882013926505,A
40369299,SEASHORE RESTAURANT,Bronx,591,CITY ISLAND AVE,10464.0,7188850300,5,40.854116926666,-73.790573593575,A
40369418,CAFFE REGGIO,Manhattan,119,MAC DOUGAL STREET,10012.0,2124759557,44,40.730206634013,-74.000317512808,A
40369461,CAFE UN DEUX TROIS,Manhattan,123,WEST   44 STREET,10036.0,2123544148,21,40.756483871142,-73.98397730097,A
40369482,ARMANDO'S PIZZA,Brooklyn,1366,PENNSYLVANIA AVENUE,11239.0,7186428253,55,40.647983742716,-73.88192681494701,A
40369521,KNICKERBOCKER BAR & GRILL,Manhattan,33,UNIVERSITY PLACE,10003.0,2122288490,42,40.731968639466,-73.994450594757,P
40369580,EL POTE ESPANOL,Manhattan,718,2 AVENUE,10016.0,2128896680,3,40.747674053669,-73.973762207796,A
40369608,THE RIVER CAFE,Brooklyn,1,WATER STREET,11201.0,7185225200,42,40.702959180239,-73.99433760709,A
40369619,MUDVILLE SALOON,Manhattan,126,CHAMBERS STREET,10007.0,2129649464,42,40.715299468091004,-74.00879096575599,A
40369641,JOHNNY'S REEF RESTAURANT,Bronx,2,CITY ISLAND AVE,10464.0,7188852086,5,40.837664418816,-73.782898935512,A
40369667,WHITE CASTLE,Brooklyn,846,EMPIRE BOULEVARD,11213.0,7187563377,74,40.66349139936,-73.932264652274,A
40369669,WHITE CASTLE,Bronx,2701,BOSTON POST ROAD,10467.0,7182314978,74,40.865624074296996,-73.862253934582,A
40369675,WHITE CASTLE,Queens,4302,QUEENS BOULEVARD,11104.0,7187862475,74,40.743450594604,-73.921327711204,A
40369716,FERDINANDO'S RESTAURANT,Brooklyn,151,UNION STREET,11231.0,7188551545,44,40.684124670454004,-74.002062401532,A
40369724,MCDONALD'S,Queens,10615,71 AVENUE,11375.0,7187938181,74,40.719800823676,-73.8450274481,A
40369759,NECTAR COFFEE SHOP,Manhattan,1022,MADISON AVENUE,10075.0,2125354115,42,40.775996787348,-73.96236681198,A
